magnitude,longitude,latitude
1,-149.9196,66.2787
0.13,-168.0165,53.4723333333333
1.6,-150.2538,60.9433
2.6,-104.4091,32.5874
0.85,-122.811668395996,38.8240013122559
1.4,-150.4444,61.6517
1.7,-151.2915,62.6125
0.94,-116.8996667,33.4055
1.87,-155.242492675781,19.392333984375
0.83,-177.911666666667,51.8626666666667
1.4,-149.019,62.6972
0.76,-177.913333333333,51.864
1.18,-122.803337097168,38.8241653442383
1.39,-119.5636667,35.0283333
1.80999994,-155.45783996582,19.2549991607666
0.46,-121.9345,46.86416666666667
-0.17,178.51,51.9735
1.4,-116.3166667,32.9868333
1.27,-116.9036667,33.403
2.20000005,-155.355499267578,19.2346668243408
1.93,-155.274169921875,19.3939990997314
2.83,-66.4506666666667,18.0175
0.27,-122.801834106445,38.8176651000977
1,-148.4054,62.9197
0.8,-120.4838,39.6502
2.25,-155.384002685547,19.208833694458
1.75,-118.836334228516,37.5326652526855
1.35,-115.8601667,32.9113333
0.06,178.5205,51.9463333333333
1.08,-122.775329589844,38.8154983520508
4.5,-179.8783,-23.4491
1.5,-147.4511,60.5731
1.27,-118.5646667,35.4108333
4.9,128.9213,27.2289
4.9,-170.5252,51.9725
2.23,-123.54266666666666,48.203
0.75,-122.808334350586,38.8176651000977
1.49,-122.807334899902,38.8166656494141
1.7,-103.916,31.229
1.31,-116.9513333,32.9028333
1.06,-121.82633333333334,47.609833333333334
1,-150.4937,62.4172
1.27,-118.1915,34.9916667
1.85000002,-155.248504638672,19.3854999542236
1.25,-116.779,33.494
1.09,-177.290166666667,51.8638333333333
1.88,-155.245498657227,19.3848323822021
1.81,-155.241500854492,19.3891658782959
1.11,-122.852500915527,38.8219985961914
3.8,-178.5503,52.0727
1.9,-152.7141,59.5317
1.75,-155.244003295898,19.3853340148926
2.1099999,-155.401168823242,19.2243328094482
1.4,-148.7523,62.9493
0.68,-154.956833333333,58.277
0.95,-117.6755,35.9213333
1.24,-116.9115,33.7921667
1.6,-153.8014,63.4333
4.5,-179.1358,-33.4576
1.43,-119.1126667,35.1085
0.66,-122.802169799805,38.8368339538574
1.5,-151.2317,62.5394
0.8,-122.801330566406,38.8366661071777
0.75,-119.4203333,34.4453333
1.14,-116.8125,33.2746667
-0.19,-165.972833333333,54.1333333333333
1.59,-119.406,34.4288333
2,-104.02,31.56
5.9,-179.1986,-33.3635
1.24,-115.7021667,32.6895
2.46,-115.7201667,32.6428333
4.7,141.5968,33.9612
4.8,142.7522,24.9492
1.89,-121.48217010498,36.7290000915527
1.04,-122.745002746582,38.7873344421387
0.76,-122.818496704102,38.8310012817383
1.6,-119.3613,38.6328
1.07,-122.821662902832,38.808666229248
1.54,-117.8781667,36.0941667
1.2,-147.5327,63.339
1.93,-121.695663452148,37.3359985351562
1.28,-121.695999145508,37.3371658325195
1.92,-155.410003662109,19.2783336639404
2.6,-168.3206,52.3095
1.64,-122.81566619873,38.8306655883789
1.16,-122.71549987793,38.7756652832031
1.9,-104.12,31.622
0.24,-121.76666666666667,46.8535
1.94,-118.581832885742,37.5245018005371
0.75,-122.749000549316,38.7975006103516
1.8,-151.3211,62.9442
1.6,-104.501,31.653
3.2,-156.35,56.4839
1.70000005,-155.188659667969,19.3365001678467
4.5,149.2691,-6.3815
